cate,subCate,stimulus
Objects,boot,Stimuli/Objects/boot/15860736.thl.jpg
Objects,boot,Stimuli/Objects/boot/15860784.thl.jpg
Objects,boot,Stimuli/Objects/boot/22978099.thl.jpg
Objects,boot,Stimuli/Objects/boot/26424364.thl.jpg
Objects,boot,Stimuli/Objects/boot/34936580.thl.jpg
Objects,boot,Stimuli/Objects/boot/35311865.thl.jpg
Objects,boot,Stimuli/Objects/boot/ABOOTS26.jpg
Objects,boot,Stimuli/Objects/boot/ACABOOTS2.jpg
Objects,boot,Stimuli/Objects/boot/ARUBBOOT8.jpg
Objects,boot,Stimuli/Objects/boot/BOOT.jpg
Objects,boot,Stimuli/Objects/boot/british_army_surplus_jungle_boot_300.jpg
Objects,boot,Stimuli/Objects/boot/clothes_7.jpg
Objects,boot,Stimuli/Objects/boot/clothes_8.jpg
Objects,boot,Stimuli/Objects/boot/clothes_9.jpg
Objects,boot,Stimuli/Objects/boot/jungle_boot.jpg
Objects,boot,Stimuli/Objects/boot/tecnica_denise-boot_oker_ocra.jpg
Objects,boot,Stimuli/Objects/boot/Women_s_Boot.jpg
